periodyear,stfips,areatype,region,area,prior_yr_area,population
2018,02,04,3,000240,000090,119
2018,02,04,3,000240,000100,0
2018,02,04,3,000240,000105,2
2018,02,04,3,000240,000110,9
2018,02,04,3,000240,000122,9
2018,02,04,3,000240,000130,1
2018,02,04,3,000240,000150,2
2018,02,04,3,000240,000158,0
2018,02,04,3,000240,000164,0
2018,02,04,3,000240,000170,54
2018,02,04,3,000240,000180,1
2018,02,04,3,000240,000185,0
2018,02,04,3,000240,000188,0
2018,02,04,3,000240,000195,0
2018,02,04,3,000240,000198,0
2018,02,04,3,000240,000220,1
2018,02,04,3,000240,000230,0
2018,02,04,3,000240,000240,5979
2018,02,04,3,000240,000261,5
2018,02,04,3,000240,000275,0
2018,02,04,3,000240,000282,0
2018,02,04,3,000240,000290,3
2018,02,04,3,000240,999999,520
2018,02,04,2,000261,000013,0
2018,02,04,2,000261,000016,0
2018,02,04,2,000261,000020,118
2018,02,04,2,000261,000050,8
2018,02,04,2,000261,000060,0
2018,02,04,2,000261,000068,0
2018,02,04,2,000261,000070,0
2018,02,04,2,000261,000090,39
2018,02,04,2,000261,000100,0
2018,02,04,2,000261,000105,0
2018,02,04,2,000261,000110,8
2018,02,04,2,000261,000122,27
2018,02,04,2,000261,000130,8
2018,02,04,2,000261,000150,1
2018,02,04,2,000261,000158,0
2018,02,04,2,000261,000164,2
2018,02,04,2,000261,000170,80
2018,02,04,2,000261,000180,0
2018,02,04,2,000261,000185,0
2018,02,04,2,000261,000188,0
2018,02,04,2,000261,000195,0
2018,02,04,2,000261,000198,0
2018,02,04,2,000261,000220,2
2018,02,04,2,000261,000230,0
2018,02,04,2,000261,000240,3
2018,02,04,2,000261,000261,7831
2018,02,04,2,000261,000275,6
2018,02,04,2,000261,000282,0
2018,02,04,2,000261,000290,3
2018,02,04,2,000261,999999,605
2018,02,04,5,000275,000013,0
2018,02,04,5,000275,000016,0
2018,02,04,5,000275,000020,3
2018,02,04,5,000275,000050,0
2018,02,04,5,000275,000060,0
2018,02,04,5,000275,000068,0
2018,02,04,5,000275,000070,0
2018,02,04,5,000275,000090,5
2018,02,04,5,000275,000100,6
2018,02,04,5,000275,000105,1
2018,02,04,5,000275,000110,10
2018,02,04,5,000275,000122,2
2018,02,04,5,000275,000130,14
2018,02,04,5,000275,000150,2
2018,02,04,5,000275,000158,0
2018,02,04,5,000275,000164,0
2018,02,04,5,000275,000170,2
2018,02,04,5,000275,000180,0
2018,02,04,5,000275,000185,0
2018,02,04,5,000275,000188,2
2018,02,04,5,000275,000195,0
2018,02,04,5,000275,000198,1
2018,02,04,5,000275,000220,2
2018,02,04,5,000275,000230,0
2018,02,04,5,000275,000240,0
2018,02,04,5,000275,000261,4
2018,02,04,5,000275,000275,1869
2018,02,04,5,000275,000282,0
2018,02,04,5,000275,000290,0
2018,02,04,5,000275,999999,137
2018,02,04,5,000282,000013,0
2018,02,04,5,000282,000016,0
2018,02,04,5,000282,000020,4
2018,02,04,5,000282,000050,0
2018,02,04,5,000282,000060,0
