Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2015 to 2020,150,30-34,118,65,53,131,70,61,
2015 to 2020,150,35-39,104,57,47,119,65,54,
2015 to 2020,150,40-44,68,39,29,86,49,37,
2015 to 2020,150,45-49,53,31,22,72,40,32,
2015 to 2020,150,50-54,50,30,20,65,40,25,
2015 to 2020,150,55-59,39,21,18,71,40,31,
2015 to 2020,150,60-64,31,18,13,66,37,29,
2015 to 2020,150,65-69,18,9,9,37,20,17,
2015 to 2020,150,70-74,13,7,6,24,13,11,
2015 to 2020,150,75-79,6,3,3,14,8,6,
2015 to 2020,150,80-84,4,2,2,11,6,5,
2015 to 2020,150,85-89,3,1,2,1,0,1,
2015 to 2020,150,90+,2,1,1,2,0,2,
2015 to 2020,158,Total,497,290,207,698,386,312,
2015 to 2020,158,0-4,78,42,36,85,39,46,
2015 to 2020,158,5-9,45,22,23,70,35,35,
2015 to 2020,158,10-14,38,20,18,57,31,26,
2015 to 2020,158,15-19,38,22,16,61,31,30,
2015 to 2020,158,20-24,58,33,25,91,50,41,
2015 to 2020,158,25-29,54,34,20,77,46,31,
2015 to 2020,158,30-34,42,29,13,63,38,25,
2015 to 2020,158,35-39,33,23,10,43,27,16,
2015 to 2020,158,40-44,25,15,10,31,21,10,
2015 to 2020,158,45-49,17,11,6,27,17,10,
2015 to 2020,158,50-54,20,13,7,25,14,11,
2015 to 2020,158,55-59,19,10,9,22,12,10,
2015 to 2020,158,60-64,11,6,5,16,9,7,
2015 to 2020,158,65-69,9,5,4,13,7,6,
2015 to 2020,158,70-74,4,3,1,7,5,2,
2015 to 2020,158,75-79,2,1,1,4,2,2,
2015 to 2020,158,80-84,3,1,2,3,1,2,
2015 to 2020,158,85-89,1,0,1,3,1,2,
2015 to 2020,158,90+,0,0,0,0,0,0,
2015 to 2020,164,Total,139,73,66,184,101,83,
2015 to 2020,164,0-4,12,5,7,18,10,8,
2015 to 2020,164,5-9,9,5,4,13,7,6,
2015 to 2020,164,10-14,9,4,5,10,6,4,
2015 to 2020,164,15-19,12,6,6,15,7,8,
2015 to 2020,164,20-24,14,6,8,21,12,9,
2015 to 2020,164,25-29,19,11,8,22,13,9,
2015 to 2020,164,30-34,13,8,5,19,10,9,
2015 to 2020,164,35-39,9,5,4,12,6,6,
2015 to 2020,164,40-44,7,4,3,10,5,5,
2015 to 2020,164,45-49,5,3,2,5,3,2,
2015 to 2020,164,50-54,9,4,5,6,3,3,
2015 to 2020,164,55-59,10,6,4,14,9,5,
2015 to 2020,164,60-64,4,2,2,7,4,3,
2015 to 2020,164,65-69,3,2,1,2,1,1,
2015 to 2020,164,70-74,3,1,2,5,3,2,
2015 to 2020,164,75-79,1,1,0,1,0,1,
2015 to 2020,164,80-84,0,0,0,2,1,1,
2015 to 2020,164,85-89,0,0,0,1,1,0,
2015 to 2020,164,90+,0,0,0,1,0,1,
2015 to 2020,170,Total,9096,4838,4258,8455,4546,3909,
2015 to 2020,170,0-4,913,489,424,714,385,329,
2015 to 2020,170,5-9,736,375,361,600,309,291,
2015 to 2020,170,10-14,628,329,299,521,268,253,
2015 to 2020,170,15-19,529,276,253,639,335,304,
2015 to 2020,170,20-24,814,418,396,1024,537,487,
2015 to 2020,170,25-29,1052,550,502,901,482,419,
2015 to 2020,170,30-34,958,525,433,801,448,353,
2015 to 2020,170,35-39,744,414,330,609,349,260,
2015 to 2020,170,40-44,525,296,229,461,259,202,
2015 to 2020,170,45-49,453,250,203,443,250,193,
2015 to 2020,170,50-54,425,231,194,403,231,172,
2015 to 2020,170,55-59,413,222,191,407,210,197,
2015 to 2020,170,60-64,340,180,160,345,186,159,
2015 to 2020,170,65-69,245,129,116,251,126,125,
2015 to 2020,170,70-74,133,69,64,149,79,70,
2015 to 2020,170,75-79,86,43,43,92,47,45,
2015 to 2020,170,80-84,50,21,29,46,24,22,
2015 to 2020,170,85-89,31,13,18,26,12,14,
2015 to 2020,170,90+,21,8,13,23,9,14,
2015 to 2020,180,Total,644,353,291,817,442,375,
2015 to 2020,180,0-4,65,35,30,78,41,37,
2015 to 2020,180,5-9,44,18,26,66,28,38,
2015 to 2020,180,10-14,36,18,18,53,24,29,
2015 to 2020,180,15-19,37,19,18,64,32,32,
2015 to 2020,180,20-24,71,36,35,85,45,40,
2015 to 2020,180,25-29,85,47,38,89,50,39,
2015 to 2020,180,30-34,70,41,29,82,45,37,
2015 to 2020,180,35-39,48,30,18,59,37,22,
2015 to 2020,180,40-44,38,24,14,41,23,18,
2015 to 2020,180,45-49,32,20,12,41,25,16,
