Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2005 to 2010,110,45-49,174,99,75,176,94,82,
2005 to 2010,110,50-54,146,79,67,180,94,86,
2005 to 2010,110,55-59,105,58,47,156,80,76,
2005 to 2010,110,60-64,67,39,28,111,62,49,
2005 to 2010,110,65-69,35,20,15,50,28,22,
2005 to 2010,110,70-74,21,10,11,32,17,15,
2005 to 2010,110,75-79,15,6,9,17,8,9,
2005 to 2010,110,80-84,9,3,6,14,4,10,
2005 to 2010,110,85-89,8,2,6,9,5,4,
2005 to 2010,110,90+,6,2,4,6,1,5,
2005 to 2010,122,Total,4436,2408,2028,3968,2129,1839,
2005 to 2010,122,0-4,368,195,173,270,143,127,
2005 to 2010,122,5-9,291,152,139,236,124,112,
2005 to 2010,122,10-14,257,131,126,217,105,112,
2005 to 2010,122,15-19,270,136,134,338,167,171,
2005 to 2010,122,20-24,478,256,222,599,319,280,
2005 to 2010,122,25-29,485,261,224,403,232,171,
2005 to 2010,122,30-34,365,201,164,286,156,130,
2005 to 2010,122,35-39,314,181,133,252,140,112,
2005 to 2010,122,40-44,296,174,122,238,135,103,
2005 to 2010,122,45-49,311,173,138,263,147,116,
2005 to 2010,122,50-54,295,160,135,257,137,120,
2005 to 2010,122,55-59,255,144,111,232,129,103,
2005 to 2010,122,60-64,182,102,80,146,78,68,
2005 to 2010,122,65-69,111,65,46,95,51,44,
2005 to 2010,122,70-74,61,33,28,57,31,26,
2005 to 2010,122,75-79,40,22,18,33,17,16,
2005 to 2010,122,80-84,30,13,17,28,14,14,
2005 to 2010,122,85-89,18,7,11,11,3,8,
2005 to 2010,122,90+,9,2,7,7,1,6,
2005 to 2010,130,Total,1152,625,527,1214,656,558,
2005 to 2010,130,0-4,108,61,47,102,61,41,
2005 to 2010,130,5-9,78,41,37,75,41,34,
2005 to 2010,130,10-14,63,30,33,67,33,34,
2005 to 2010,130,15-19,77,39,38,98,46,52,
2005 to 2010,130,20-24,125,65,60,164,90,74,
2005 to 2010,130,25-29,139,77,62,115,60,55,
2005 to 2010,130,30-34,101,57,44,90,52,38,
2005 to 2010,130,35-39,86,49,37,86,48,38,
2005 to 2010,130,40-44,82,47,35,80,42,38,
2005 to 2010,130,45-49,85,51,34,89,52,37,
2005 to 2010,130,50-54,70,38,32,72,42,30,
2005 to 2010,130,55-59,56,30,26,64,33,31,
2005 to 2010,130,60-64,31,18,13,43,24,19,
2005 to 2010,130,65-69,20,9,11,28,13,15,
2005 to 2010,130,70-74,12,7,5,16,8,8,
2005 to 2010,130,75-79,7,2,5,9,5,4,
2005 to 2010,130,80-84,6,2,4,9,4,5,
2005 to 2010,130,85-89,2,1,1,3,1,2,
2005 to 2010,130,90+,4,1,3,4,1,3,
2005 to 2010,150,Total,1236,668,568,1360,725,635,
2005 to 2010,150,0-4,135,68,67,128,67,61,
2005 to 2010,150,5-9,112,62,50,113,62,51,
2005 to 2010,150,10-14,91,50,41,95,49,46,
2005 to 2010,150,15-19,78,40,38,123,60,63,
2005 to 2010,150,20-24,125,66,59,152,77,75,
2005 to 2010,150,25-29,146,74,72,120,65,55,
2005 to 2010,150,30-34,115,63,52,110,58,52,
2005 to 2010,150,35-39,104,57,47,106,58,48,
2005 to 2010,150,40-44,93,50,43,108,60,48,
2005 to 2010,150,45-49,77,47,30,79,44,35,
2005 to 2010,150,50-54,55,33,22,67,37,30,
2005 to 2010,150,55-59,44,25,19,57,33,24,
2005 to 2010,150,60-64,24,15,9,45,25,20,
2005 to 2010,150,65-69,17,9,8,23,14,9,
2005 to 2010,150,70-74,9,5,4,14,8,6,
2005 to 2010,150,75-79,5,2,3,9,4,5,
2005 to 2010,150,80-84,3,1,2,6,2,4,
2005 to 2010,150,85-89,2,1,1,4,2,2,
2005 to 2010,150,90+,1,0,1,1,0,1,
2005 to 2010,158,Total,476,260,216,624,329,295,
2005 to 2010,158,0-4,77,37,40,87,41,46,
2005 to 2010,158,5-9,48,25,23,63,32,31,
2005 to 2010,158,10-14,33,16,17,47,23,24,
2005 to 2010,158,15-19,43,23,20,66,34,32,
2005 to 2010,158,20-24,56,30,26,89,46,43,
2005 to 2010,158,25-29,54,31,23,70,38,32,
2005 to 2010,158,30-34,37,21,16,43,24,19,
2005 to 2010,158,35-39,31,21,10,42,28,14,
2005 to 2010,158,40-44,26,15,11,29,16,13,
2005 to 2010,158,45-49,23,14,9,27,16,11,
2005 to 2010,158,50-54,15,10,5,19,11,8,
2005 to 2010,158,55-59,14,8,6,16,8,8,
2005 to 2010,158,60-64,8,5,3,10,5,5,
2005 to 2010,158,65-69,4,2,2,6,4,2,
2005 to 2010,158,70-74,1,0,1,3,1,2,
2005 to 2010,158,75-79,2,1,1,3,1,2,
2005 to 2010,158,80-84,2,0,2,2,0,2,
2005 to 2010,158,85-89,2,1,1,2,1,1,
2005 to 2010,158,90+,0,0,0,0,0,0,
2005 to 2010,164,Total,163,87,76,186,101,85,
2005 to 2010,164,0-4,17,8,9,18,10,8,
2005 to 2010,164,5-9,13,6,7,14,7,7,
2005 to 2010,164,10-14,12,6,6,13,6,7,
2005 to 2010,164,15-19,16,7,9,17,8,9,
2005 to 2010,164,20-24,18,9,9,22,12,10,
2005 to 2010,164,25-29,18,10,8,18,10,8,
2005 to 2010,164,30-34,16,9,7,15,8,7,
2005 to 2010,164,35-39,8,5,3,10,5,5,
2005 to 2010,164,40-44,11,5,6,12,7,5,
2005 to 2010,164,45-49,12,8,4,14,8,6,
2005 to 2010,164,50-54,8,5,3,11,6,5,
2005 to 2010,164,55-59,5,2,3,6,3,3,
2005 to 2010,164,60-64,4,3,1,7,5,2,
2005 to 2010,164,65-69,2,2,0,5,3,2,
2005 to 2010,164,70-74,1,1,0,1,1,0,
2005 to 2010,164,75-79,1,1,0,1,1,0,
2005 to 2010,164,80-84,1,0,1,2,1,1,
2005 to 2010,164,85-89,0,0,0,0,0,0,
2005 to 2010,164,90+,0,0,0,0,0,0,
2005 to 2010,170,Total,8542,4557,3985,6421,3488,2933,
2005 to 2010,170,0-4,896,468,428,551,292,259,
2005 to 2010,170,5-9,689,353,336,442,233,209,
2005 to 2010,170,10-14,619,325,294,400,211,189,
2005 to 2010,170,15-19,573,289,284,589,294,295,
2005 to 2010,170,20-24,885,456,429,940,496,444,
2005 to 2010,170,25-29,969,531,438,669,384,285,
2005 to 2010,170,30-34,746,404,342,489,273,216,
2005 to 2010,170,35-39,658,357,301,430,241,189,
2005 to 2010,170,40-44,599,340,259,413,234,179,
2005 to 2010,170,45-49,546,311,235,426,243,183,
2005 to 2010,170,50-54,437,246,191,354,202,152,
2005 to 2010,170,55-59,351,187,164,278,155,123,
2005 to 2010,170,60-64,231,120,111,172,94,78,
2005 to 2010,170,65-69,139,77,62,109,59,50,
2005 to 2010,170,70-74,77,38,39,65,37,28,
2005 to 2010,170,75-79,54,26,28,44,19,25,
2005 to 2010,170,80-84,36,16,20,25,13,12,
2005 to 2010,170,85-89,24,9,15,19,6,13,
2005 to 2010,170,90+,13,4,9,6,2,4,
2005 to 2010,180,Total,591,326,265,738,401,337,
2005 to 2010,180,0-4,64,31,33,75,35,40,
2005 to 2010,180,5-9,43,22,21,64,31,33,
2005 to 2010,180,10-14,35,18,17,45,24,21,
2005 to 2010,180,15-19,43,21,22,72,37,35,
2005 to 2010,180,20-24,74,42,32,88,51,37,
2005 to 2010,180,25-29,73,42,31,72,41,31,
2005 to 2010,180,30-34,52,31,21,55,32,23,
2005 to 2010,180,35-39,41,25,16,50,30,20,
2005 to 2010,180,40-44,39,23,16,48,28,20,
2005 to 2010,180,45-49,38,23,15,44,23,21,
2005 to 2010,180,50-54,29,17,12,38,23,15,
2005 to 2010,180,55-59,27,16,11,38,23,15,
2005 to 2010,180,60-64,13,7,6,22,10,12,
2005 to 2010,180,65-69,8,4,4,14,7,7,
2005 to 2010,180,70-74,4,1,3,4,2,2,
2005 to 2010,180,75-79,3,1,2,5,2,3,
2005 to 2010,180,80-84,2,1,1,1,1,0,
2005 to 2010,180,85-89,2,1,1,2,1,1,
2005 to 2010,180,90+,1,0,1,1,0,1,
2005 to 2010,185,Total,549,303,246,715,396,319,
2005 to 2010,185,0-4,67,33,34,79,42,37,
2005 to 2010,185,5-9,35,18,17,54,28,26,
2005 to 2010,185,10-14,30,16,14,38,21,17,
2005 to 2010,185,15-19,46,24,22,73,39,34,
2005 to 2010,185,20-24,73,39,34,93,50,43,
2005 to 2010,185,25-29,61,32,29,66,36,30,
2005 to 2010,185,30-34,30,18,12,41,25,16,
2005 to 2010,185,35-39,33,19,14,45,25,20,
2005 to 2010,185,40-44,41,28,13,46,30,16,
2005 to 2010,185,45-49,36,21,15,42,26,16,
2005 to 2010,185,50-54,36,21,15,46,26,20,
2005 to 2010,185,55-59,26,16,10,38,20,18,
2005 to 2010,185,60-64,18,10,8,28,15,13,
2005 to 2010,185,65-69,6,3,3,15,7,8,
2005 to 2010,185,70-74,4,3,1,5,3,2,
2005 to 2010,185,75-79,3,1,2,3,2,1,
2005 to 2010,185,80-84,2,1,1,2,1,1,
2005 to 2010,185,85-89,1,0,1,0,0,0,
2005 to 2010,185,90+,1,0,1,1,0,1,
2005 to 2010,188,Total,490,270,220,618,338,280,
2005 to 2010,188,0-4,60,31,29,68,34,34,
2005 to 2010,188,5-9,34,16,18,45,22,23,
2005 to 2010,188,10-14,29,13,16,40,19,21,
2005 to 2010,188,15-19,40,21,19,62,30,32,
2005 to 2010,188,20-24,66,35,31,86,47,39,
2005 to 2010,188,25-29,58,32,26,64,37,27,
2005 to 2010,188,30-34,37,23,14,48,28,20,
2005 to 2010,188,35-39,28,18,10,41,25,16,
2005 to 2010,188,40-44,34,23,11,35,22,13,
2005 to 2010,188,45-49,39,24,15,37,23,14,
2005 to 2010,188,50-54,25,14,11,29,16,13,
2005 to 2010,188,55-59,21,12,9,26,15,11,
2005 to 2010,188,60-64,7,4,3,18,10,8,
2005 to 2010,188,65-69,6,2,4,8,3,5,
2005 to 2010,188,70-74,2,1,1,3,2,1,
2005 to 2010,188,75-79,2,1,1,4,2,2,
2005 to 2010,188,80-84,1,0,1,1,1,0,
2005 to 2010,188,85-89,1,0,1,2,1,1,
2005 to 2010,188,90+,0,0,0,1,1,0,
2005 to 2010,195,Total,260,145,115,295,162,133,
2005 to 2010,195,0-4,21,13,8,27,16,11,
2005 to 2010,195,5-9,15,8,7,21,12,9,
2005 to 2010,195,10-14,13,5,8,14,8,6,
2005 to 2010,195,15-19,17,9,8,28,14,14,
2005 to 2010,195,20-24,28,15,13,40,22,18,
2005 to 2010,195,25-29,32,16,16,26,13,13,
2005 to 2010,195,30-34,21,13,8,25,15,10,
2005 to 2010,195,35-39,21,12,9,18,10,8,
2005 to 2010,195,40-44,18,9,9,20,10,10,
2005 to 2010,195,45-49,17,11,6,19,12,7,
2005 to 2010,195,50-54,19,11,8,18,10,8,
2005 to 2010,195,55-59,15,10,5,13,7,6,
2005 to 2010,195,60-64,8,4,4,11,4,7,
2005 to 2010,195,65-69,6,4,2,6,4,2,
2005 to 2010,195,70-74,3,2,1,3,2,1,
2005 to 2010,195,75-79,2,1,1,3,2,1,
2005 to 2010,195,80-84,2,1,1,1,1,0,
2005 to 2010,195,85-89,2,1,1,1,0,1,
2005 to 2010,195,90+,0,0,0,1,0,1,
2005 to 2010,198,Total,538,306,232,615,346,269,
2005 to 2010,198,0-4,50,26,24,45,21,24,
2005 to 2010,198,5-9,37,21,16,38,20,18,
2005 to 2010,198,10-14,39,21,18,34,18,16,
2005 to 2010,198,15-19,36,20,16,73,39,34,
2005 to 2010,198,20-24,51,30,21,76,41,35,
2005 to 2010,198,25-29,48,27,21,49,31,18,
2005 to 2010,198,30-34,43,25,18,42,25,17,
2005 to 2010,198,35-39,40,21,19,36,19,17,
2005 to 2010,198,40-44,40,24,16,43,24,19,
2005 to 2010,198,45-49,40,24,16,44,26,18,
2005 to 2010,198,50-54,37,21,16,42,23,19,
2005 to 2010,198,55-59,28,17,11,31,21,10,
2005 to 2010,198,60-64,21,13,8,21,13,8,
2005 to 2010,198,65-69,13,8,5,18,10,8,
2005 to 2010,198,70-74,7,4,3,11,8,3,
2005 to 2010,198,75-79,5,2,3,6,3,3,
2005 to 2010,198,80-84,1,1,0,4,3,1,
2005 to 2010,198,85-89,2,1,1,2,1,1,
2005 to 2010,198,90+,0,0,0,0,0,0,
2005 to 2010,220,Total,731,380,351,806,413,393,
2005 to 2010,220,0-4,61,34,27,78,40,38,
2005 to 2010,220,5-9,45,23,22,57,31,26,
2005 to 2010,220,10-14,41,22,19,42,18,24,
2005 to 2010,220,15-19,44,18,26,57,26,31,
2005 to 2010,220,20-24,77,33,44,106,47,59,
2005 to 2010,220,25-29,96,50,46,89,45,44,
2005 to 2010,220,30-34,73,41,32,71,39,32,
2005 to 2010,220,35-39,59,33,26,55,31,24,
2005 to 2010,220,40-44,53,30,23,54,32,22,
2005 to 2010,220,45-49,49,27,22,54,28,26,
2005 to 2010,220,50-54,42,24,18,40,23,17,
2005 to 2010,220,55-59,35,17,18,33,15,18,
2005 to 2010,220,60-64,17,10,7,26,15,11,
2005 to 2010,220,65-69,12,7,5,17,10,7,
2005 to 2010,220,70-74,7,4,3,10,5,5,
2005 to 2010,220,75-79,4,2,2,9,4,5,
2005 to 2010,220,80-84,8,3,5,4,3,1,
2005 to 2010,220,85-89,5,1,4,2,0,2,
2005 to 2010,220,90+,3,1,2,2,1,1,
2005 to 2010,230,Total,100,52,48,93,45,48,
2005 to 2010,230,0-4,6,3,3,6,3,3,
2005 to 2010,230,5-9,4,2,2,5,1,4,
2005 to 2010,230,10-14,4,3,1,4,2,2,
2005 to 2010,230,15-19,5,3,2,6,3,3,
2005 to 2010,230,20-24,7,3,4,6,3,3,
2005 to 2010,230,25-29,20,10,10,10,5,5,
2005 to 2010,230,30-34,12,6,6,9,5,4,
2005 to 2010,230,35-39,10,6,4,11,6,5,
2005 to 2010,230,40-44,8,4,4,5,2,3,
2005 to 2010,230,45-49,7,3,4,8,4,4,
2005 to 2010,230,50-54,7,4,3,8,4,4,
2005 to 2010,230,55-59,5,3,2,5,2,3,
2005 to 2010,230,60-64,4,2,2,3,2,1,
2005 to 2010,230,65-69,1,0,1,4,2,2,
2005 to 2010,230,70-74,0,0,0,1,1,0,
2005 to 2010,230,75-79,0,0,0,1,0,1,
2005 to 2010,230,80-84,0,0,0,1,0,1,
2005 to 2010,230,85-89,0,0,0,0,0,0,
2005 to 2010,230,90+,0,0,0,0,0,0,
2005 to 2010,240,Total,776,426,350,688,370,318,
2005 to 2010,240,0-4,95,48,47,62,32,30,
2005 to 2010,240,5-9,70,37,33,54,28,26,
2005 to 2010,240,10-14,53,28,25,48,22,26,
2005 to 2010,240,15-19,50,25,25,66,33,33,
2005 to 2010,240,20-24,80,41,39,87,44,43,
2005 to 2010,240,25-29,82,45,37,60,33,27,
2005 to 2010,240,30-34,65,37,28,49,29,20,
2005 to 2010,240,35-39,52,30,22,48,26,22,
2005 to 2010,240,40-44,49,29,20,42,26,16,
2005 to 2010,240,45-49,54,34,20,46,27,19,
2005 to 2010,240,50-54,43,26,17,37,22,15,
2005 to 2010,240,55-59,31,19,12,30,17,13,
2005 to 2010,240,60-64,25,14,11,22,11,11,
2005 to 2010,240,65-69,11,6,5,16,10,6,
2005 to 2010,240,70-74,7,4,3,7,4,3,
2005 to 2010,240,75-79,5,2,3,7,3,4,
2005 to 2010,240,80-84,2,1,1,3,1,2,
2005 to 2010,240,85-89,1,0,1,2,1,1,
2005 to 2010,240,90+,1,0,1,2,1,1,
2005 to 2010,275,Total,182,103,79,168,93,75,
2005 to 2010,275,0-4,14,6,8,11,7,4,
2005 to 2010,275,5-9,9,5,4,7,4,3,
2005 to 2010,275,10-14,8,5,3,8,4,4,
2005 to 2010,275,15-19,14,7,7,17,9,8,
2005 to 2010,275,20-24,21,14,7,27,15,12,
2005 to 2010,275,25-29,20,12,8,17,10,7,
2005 to 2010,275,30-34,14,7,7,10,6,4,
2005 to 2010,275,35-39,10,5,5,8,4,4,
2005 to 2010,275,40-44,11,7,4,8,4,4,
2005 to 2010,275,45-49,12,6,6,10,5,5,
2005 to 2010,275,50-54,11,7,4,9,5,4,
2005 to 2010,275,55-59,13,8,5,11,6,5,
2005 to 2010,275,60-64,10,5,5,8,4,4,
2005 to 2010,275,65-69,5,3,2,5,3,2,
2005 to 2010,275,70-74,4,3,1,6,4,2,
2005 to 2010,275,75-79,3,1,2,3,2,1,
2005 to 2010,275,80-84,1,1,0,2,1,1,
2005 to 2010,275,85-89,2,1,1,1,0,1,
2005 to 2010,275,90+,0,0,0,0,0,0,
2005 to 2010,282,Total,71,41,30,80,44,36,
2005 to 2010,282,0-4,8,4,4,9,6,3,
2005 to 2010,282,5-9,5,2,3,2,1,1,
2005 to 2010,282,10-14,3,2,1,4,2,2,
2005 to 2010,282,15-19,5,3,2,11,6,5,
2005 to 2010,282,20-24,8,5,3,13,7,6,
2005 to 2010,282,25-29,8,5,3,5,3,2,
2005 to 2010,282,30-34,5,2,3,6,3,3,
2005 to 2010,282,35-39,7,3,4,8,3,5,
2005 to 2010,282,40-44,4,3,1,4,2,2,
2005 to 2010,282,45-49,4,3,1,4,3,1,
2005 to 2010,282,50-54,4,3,1,5,3,2,
2005 to 2010,282,55-59,5,3,2,5,3,2,
2005 to 2010,282,60-64,3,2,1,2,1,1,
2005 to 2010,282,65-69,0,0,0,0,0,0,
2005 to 2010,282,70-74,1,1,0,1,1,0,
2005 to 2010,282,75-79,1,0,1,1,0,1,
2005 to 2010,282,80-84,0,0,0,0,0,0,
2005 to 2010,282,85-89,0,0,0,0,0,0,
2005 to 2010,282,90+,0,0,0,0,0,0,
2005 to 2010,290,Total,577,328,249,704,391,313,
2005 to 2010,290,0-4,56,32,24,55,28,27,
2005 to 2010,290,5-9,42,20,22,53,29,24,
2005 to 2010,290,10-14,36,20,16,39,21,18,
2005 to 2010,290,15-19,41,22,19,72,38,34,
2005 to 2010,290,20-24,56,29,27,93,47,46,
2005 to 2010,290,25-29,62,37,25,68,41,27,
2005 to 2010,290,30-34,51,30,21,55,34,21,
2005 to 2010,290,35-39,36,22,14,45,26,19,
2005 to 2010,290,40-44,40,24,16,43,23,20,
2005 to 2010,290,45-49,44,27,17,48,31,17,
2005 to 2010,290,50-54,35,20,15,40,20,20,
2005 to 2010,290,55-59,34,19,15,35,18,17,
2005 to 2010,290,60-64,20,12,8,25,16,9,
2005 to 2010,290,65-69,9,6,3,14,8,6,
2005 to 2010,290,70-74,4,2,2,5,3,2,
2005 to 2010,290,75-79,5,3,2,8,4,4,
2005 to 2010,290,80-84,2,1,1,3,2,1,
2005 to 2010,290,85-89,2,1,1,2,1,1,
2005 to 2010,290,90+,2,1,1,1,1,0,
2000 to 2005,000,Total,38341,20725,17616,37623,20455,17168,
2000 to 2005,000,0-4,3560,1825,1735,3184,1615,1569,
2000 to 2005,000,5-9,3061,1564,1497,2713,1378,1335,
2000 to 2005,000,10-14,2786,1462,1324,2523,1287,1236,
2000 to 2005,000,15-19,2545,1317,1228,2961,1533,1428,
2000 to 2005,000,20-24,4959,2708,2251,4960,2757,2203,
2000 to 2005,000,25-29,4609,2544,2065,3691,2086,1605,
2000 to 2005,000,30-34,3939,2175,1764,3352,1881,1471,
2000 to 2005,000,35-39,3346,1899,1447,3072,1772,1300,
2000 to 2005,000,40-44,2817,1614,1203,2848,1622,1226,
2000 to 2005,000,45-49,2223,1261,962,2400,1320,1080,
2000 to 2005,000,50-54,1634,911,723,1990,1101,889,
2000 to 2005,000,55-59,1074,582,492,1513,839,674,
2000 to 2005,000,60-64,655,354,301,969,533,436,
2000 to 2005,000,65-69,401,207,194,600,326,274,
2000 to 2005,000,70-74,266,134,132,328,168,160,
2000 to 2005,000,75-79,204,80,124,219,109,110,
2000 to 2005,000,80-84,148,55,93,157,68,89,
2000 to 2005,000,85-89,79,22,57,89,35,54,
2000 to 2005,000,90+,35,11,24,54,25,29,
2000 to 2005,013,Total,148,84,64,156,89,67,
2000 to 2005,013,0-4,9,3,6,10,6,4,
2000 to 2005,013,5-9,7,3,4,9,4,5,
2000 to 2005,013,10-14,12,6,6,9,5,4,
2000 to 2005,013,15-19,7,4,3,11,5,6,
2000 to 2005,013,20-24,13,8,5,12,8,4,
2000 to 2005,013,25-29,11,6,5,10,5,5,
2000 to 2005,013,30-34,14,10,4,14,9,5,
2000 to 2005,013,35-39,19,12,7,15,9,6,
2000 to 2005,013,40-44,20,11,9,22,14,8,
2000 to 2005,013,45-49,14,8,6,13,7,6,
2000 to 2005,013,50-54,10,6,4,14,7,7,
2000 to 2005,013,55-59,8,4,4,7,4,3,
2000 to 2005,013,60-64,3,2,1,6,3,3,
2000 to 2005,013,65-69,0,0,0,3,2,1,
2000 to 2005,013,70-74,0,0,0,1,1,0,
2000 to 2005,013,75-79,1,1,0,0,0,0,
2000 to 2005,013,80-84,0,0,0,0,0,0,
2000 to 2005,013,85-89,0,0,0,0,0,0,
2000 to 2005,013,90+,0,0,0,0,0,0,
2000 to 2005,016,Total,402,242,160,432,258,174,
2000 to 2005,016,0-4,25,15,10,26,11,15,
2000 to 2005,016,5-9,22,12,10,23,14,9,
2000 to 2005,016,10-14,23,12,11,25,14,11,
2000 to 2005,016,15-19,18,9,9,29,14,15,
2000 to 2005,016,20-24,31,18,13,32,17,15,
2000 to 2005,016,25-29,35,18,17,32,20,12,
2000 to 2005,016,30-34,47,27,20,39,24,15,
2000 to 2005,016,35-39,49,32,17,50,33,17,
2000 to 2005,016,40-44,48,32,16,50,30,20,
2000 to 2005,016,45-49,40,26,14,46,32,14,
2000 to 2005,016,50-54,33,22,11,32,20,12,
2000 to 2005,016,55-59,16,10,6,23,16,7,
2000 to 2005,016,60-64,10,6,4,14,7,7,
2000 to 2005,016,65-69,3,2,1,8,5,3,
2000 to 2005,016,70-74,2,1,1,0,0,0,
2000 to 2005,016,75-79,0,0,0,2,1,1,
2000 to 2005,016,80-84,0,0,0,1,0,1,
2000 to 2005,016,85-89,0,0,0,0,0,0,
2000 to 2005,016,90+,0,0,0,0,0,0,
2000 to 2005,020,Total,23943,12638,11305,21545,11467,10078,
2000 to 2005,020,0-4,2387,1234,1153,2008,1019,989,
2000 to 2005,020,5-9,1920,994,926,1681,862,819,
2000 to 2005,020,10-14,1742,895,847,1484,752,732,
2000 to 2005,020,15-19,1645,814,831,1553,813,740,
2000 to 2005,020,20-24,3034,1558,1476,2589,1367,1222,
2000 to 2005,020,25-29,2812,1511,1301,2183,1188,995,
2000 to 2005,020,30-34,2406,1323,1083,2011,1112,899,
2000 to 2005,020,35-39,2014,1103,911,1810,1020,790,
2000 to 2005,020,40-44,1811,996,815,1669,925,744,
2000 to 2005,020,45-49,1401,782,619,1382,739,643,
2000 to 2005,020,50-54,1025,562,463,1109,601,508,
2000 to 2005,020,55-59,683,362,321,814,436,378,
2000 to 2005,020,60-64,383,198,185,513,281,232,
2000 to 2005,020,65-69,243,124,119,315,166,149,
2000 to 2005,020,70-74,155,74,81,162,74,88,
2000 to 2005,020,75-79,118,49,69,114,53,61,
2000 to 2005,020,80-84,89,36,53,80,35,45,
2000 to 2005,020,85-89,49,15,34,41,15,26,
2000 to 2005,020,90+,26,8,18,27,9,18,
2000 to 2005,050,Total,1020,550,470,1177,637,540,
2000 to 2005,050,0-4,119,58,61,132,70,62,
2000 to 2005,050,5-9,89,43,46,110,57,53,
2000 to 2005,050,10-14,83,41,42,97,50,47,
2000 to 2005,050,15-19,82,43,39,108,55,53,
2000 to 2005,050,20-24,105,53,52,121,62,59,
2000 to 2005,050,25-29,108,61,47,108,57,51,
2000 to 2005,050,30-34,92,55,37,104,61,43,
2000 to 2005,050,35-39,79,46,33,92,53,39,
2000 to 2005,050,40-44,77,45,32,88,51,37,
2000 to 2005,050,45-49,63,37,26,65,36,29,
2000 to 2005,050,50-54,47,27,20,54,32,22,
2000 to 2005,050,55-59,38,22,16,43,23,20,
2000 to 2005,050,60-64,17,9,8,23,13,10,
2000 to 2005,050,65-69,6,4,2,13,7,6,
2000 to 2005,050,70-74,6,3,3,7,4,3,
2000 to 2005,050,75-79,3,1,2,5,2,3,
2000 to 2005,050,80-84,4,2,2,5,3,2,
2000 to 2005,050,85-89,1,0,1,1,0,1,
2000 to 2005,050,90+,1,0,1,1,1,0,
2000 to 2005,060,Total,110,63,47,127,69,58,
2000 to 2005,060,0-4,9,6,3,14,8,6,
2000 to 2005,060,5-9,8,4,4,10,5,5,
2000 to 2005,060,10-14,6,4,2,10,5,5,
2000 to 2005,060,15-19,8,4,4,10,5,5,
2000 to 2005,060,20-24,11,6,5,14,7,7,
2000 to 2005,060,25-29,10,4,6,8,4,4,
2000 to 2005,060,30-34,9,6,3,9,5,4,
2000 to 2005,060,35-39,11,6,5,11,6,5,
2000 to 2005,060,40-44,12,7,5,12,7,5,
2000 to 2005,060,45-49,10,5,5,10,5,5,
2000 to 2005,060,50-54,8,6,2,7,4,3,
2000 to 2005,060,55-59,4,2,2,5,3,2,
2000 to 2005,060,60-64,4,3,1,3,2,1,
2000 to 2005,060,65-69,0,0,0,3,2,1,
2000 to 2005,060,70-74,0,0,0,1,1,0,
2000 to 2005,060,75-79,0,0,0,0,0,0,
2000 to 2005,060,80-84,0,0,0,0,0,0,
2000 to 2005,060,85-89,0,0,0,0,0,0,
2000 to 2005,060,90+,0,0,0,0,0,0,
2000 to 2005,063,Total,743,400,343,778,421,357,
2000 to 2005,063,0-4,63,33,30,60,36,24,
2000 to 2005,063,5-9,59,30,29,50,25,25,
2000 to 2005,063,10-14,64,33,31,50,25,25,
2000 to 2005,063,15-19,53,28,25,61,31,30,
2000 to 2005,063,20-24,63,34,29,90,45,45,
2000 to 2005,063,25-29,73,38,35,63,33,30,
2000 to 2005,063,30-34,72,38,34,64,36,28,
2000 to 2005,063,35-39,68,37,31,62,32,30,
2000 to 2005,063,40-44,67,37,30,67,38,29,
2000 to 2005,063,45-49,59,34,25,68,40,28,
2000 to 2005,063,50-54,41,24,17,52,30,22,
2000 to 2005,063,55-59,25,15,10,33,19,14,
2000 to 2005,063,60-64,17,9,8,29,16,13,
2000 to 2005,063,65-69,7,4,3,12,6,6,
2000 to 2005,063,70-74,5,3,2,7,4,3,
2000 to 2005,063,75-79,2,1,1,5,2,3,
2000 to 2005,063,80-84,2,1,1,4,2,2,
2000 to 2005,063,85-89,2,1,1,0,0,0,
2000 to 2005,063,90+,1,0,1,1,1,0,
2000 to 2005,066,Total,403,221,182,444,248,196,
2000 to 2005,066,0-4,32,18,14,33,21,12,
2000 to 2005,066,5-9,36,20,16,28,14,14,
2000 to 2005,066,10-14,29,11,18,29,14,15,
2000 to 2005,066,15-19,29,15,14,45,24,21,
2000 to 2005,066,20-24,40,23,17,56,33,23,
2000 to 2005,066,25-29,39,18,21,31,16,15,
2000 to 2005,066,30-34,33,20,13,31,17,14,
2000 to 2005,066,35-39,32,17,15,29,16,13,
2000 to 2005,066,40-44,35,21,14,30,18,12,
2000 to 2005,066,45-49,32,18,14,35,20,15,
2000 to 2005,066,50-54,25,15,10,27,15,12,
2000 to 2005,066,55-59,18,11,7,27,15,12,
2000 to 2005,066,60-64,11,7,4,16,9,7,
2000 to 2005,066,65-69,6,4,2,11,7,4,
2000 to 2005,066,70-74,3,2,1,6,4,2,
2000 to 2005,066,75-79,2,1,1,4,2,2,
2000 to 2005,066,80-84,0,0,0,3,2,1,
2000 to 2005,066,85-89,0,0,0,2,1,1,
2000 to 2005,066,90+,1,0,1,1,0,1,
