"Borough/Census Area FIPS","Year","Age","Total","Male","Female","Data from: https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/estimates/data/AgeBySexBCA_2000to2010.xls via https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/index.cfm March 2023 "
"240",2000,"40-44",553,284,269,
"240",2000,"45-49",541,284,257,
"240",2000,"50-54",444,240,204,
"240",2000,"55-59",340,190,150,
"240",2000,"60-64",262,146,116,
"240",2000,"65-69",150,82,68,
"240",2000,"70-74",118,59,59,
"240",2000,"75-79",53,31,22,
"240",2000,"80-84",35,13,22,
"240",2000,"85+",19,6,13,
"261",2000,"0-4",679,331,348,
"261",2000,"5-9",799,431,368,
"261",2000,"10-14",994,531,463,
"261",2000,"15-19",784,408,376,
"261",2000,"20-24",477,283,194,
"261",2000,"25-29",500,229,271,
"261",2000,"30-34",669,346,323,
"261",2000,"35-39",895,478,417,
"261",2000,"40-44",1084,550,534,
"261",2000,"45-49",1028,567,461,
"261",2000,"50-54",857,474,383,
"261",2000,"55-59",506,306,200,
"261",2000,"60-64",309,173,136,
"261",2000,"65-69",206,117,89,
"261",2000,"70-74",187,99,88,
"261",2000,"75-79",117,53,64,
"261",2000,"80-84",55,27,28,
"261",2000,"85+",49,25,24,
"270",2000,"0-4",744,401,343,
"270",2000,"5-9",953,509,444,
"270",2000,"10-14",1063,553,510,
"270",2000,"15-19",754,381,373,
"270",2000,"20-24",441,217,224,
"270",2000,"25-29",447,223,224,
"270",2000,"30-34",486,249,237,
"270",2000,"35-39",438,233,205,
"270",2000,"40-44",430,235,195,
"270",2000,"45-49",308,164,144,
"270",2000,"50-54",270,154,116,
"270",2000,"55-59",196,105,91,
"270",2000,"60-64",146,74,72,
"270",2000,"65-69",138,68,70,
"270",2000,"70-74",90,40,50,
"270",2000,"75-79",78,42,36,
"270",2000,"80-84",25,12,13,
"270",2000,"85+",21,6,15,
"275",2000,"0-4",148,80,68,
"275",2000,"5-9",181,94,87,
"275",2000,"10-14",241,131,110,
"275",2000,"15-19",170,89,81,
"275",2000,"20-24",84,47,37,
"275",2000,"25-29",101,46,55,
"275",2000,"30-34",135,61,74,
"275",2000,"35-39",176,84,92,
"275",2000,"40-44",248,125,123,
"275",2000,"45-49",237,129,108,
"275",2000,"50-54",182,94,88,
"275",2000,"55-59",142,76,66,
"275",2000,"60-64",122,72,50,
"275",2000,"65-69",81,44,37,
"275",2000,"70-74",75,38,37,
"275",2000,"75-79",49,22,27,
"275",2000,"80-84",41,20,21,
"275",2000,"85+",35,8,27,
"282",2000,"0-4",39,18,21,
"282",2000,"5-9",79,46,33,
"282",2000,"10-14",66,32,34,
"282",2000,"15-19",60,37,23,
"282",2000,"20-24",26,14,12,
"282",2000,"25-29",35,17,18,
"282",2000,"30-34",59,31,28,
"282",2000,"35-39",80,49,31,
"282",2000,"40-44",89,59,30,
"282",2000,"45-49",94,62,32,
"282",2000,"50-54",69,41,28,
"282",2000,"55-59",40,31,9,
"282",2000,"60-64",29,18,11,
"282",2000,"65-69",18,10,8,
"282",2000,"70-74",14,8,6,
"282",2000,"75-79",10,5,5,
"282",2000,"80-84",0,0,0,
"282",2000,"85+",1,1,0,
"290",2000,"0-4",464,238,226,
"290",2000,"5-9",592,307,285,
"290",2000,"10-14",788,428,360,
"290",2000,"15-19",636,343,293,
"290",2000,"20-24",369,233,136,
"290",2000,"25-29",328,180,148,
"290",2000,"30-34",370,197,173,
"290",2000,"35-39",505,258,247,
"290",2000,"40-44",546,294,252,
"290",2000,"45-49",531,291,240,
"290",2000,"50-54",414,231,183,
"290",2000,"55-59",301,178,123,
"290",2000,"60-64",193,105,88,
"290",2000,"65-69",165,84,81,
"290",2000,"70-74",145,78,67,
"290",2000,"75-79",74,39,35,
"290",2000,"80-84",48,25,23,
"290",2000,"85+",41,20,21,
"000",2001,"0-4",47270,24295,22975,
"000",2001,"5-9",51809,26494,25315,
"000",2001,"10-14",57106,29185,27921,
"000",2001,"15-19",52849,27718,25131,
"000",2001,"20-24",39721,21356,18365,
"000",2001,"25-29",41695,21677,20018,
"000",2001,"30-34",46498,23946,22552,
"000",2001,"35-39",53806,27674,26132,
"000",2001,"40-44",58350,29769,28581,
"000",2001,"45-49",55134,28603,26531,
"000",2001,"50-54",44554,24062,20492,
"000",2001,"55-59",28712,15318,13394,
"000",2001,"60-64",18413,9853,8560,
"000",2001,"65-69",12748,6482,6266,
"000",2001,"70-74",10145,4988,5157,
"000",2001,"75-79",7079,3196,3883,
"000",2001,"80-84",3938,1608,2330,
"000",2001,"85+",2889,983,1906,
"013",2001,"0-4",84,40,44,
"013",2001,"5-9",107,54,53,
"013",2001,"10-14",118,65,53,
"013",2001,"15-19",125,69,56,
"013",2001,"20-24",204,144,60,
"013",2001,"25-29",167,109,58,
"013",2001,"30-34",246,173,73,
"013",2001,"35-39",348,260,88,
"013",2001,"40-44",317,222,95,
"013",2001,"45-49",265,174,91,
"013",2001,"50-54",268,170,98,
"013",2001,"55-59",154,99,55,
"013",2001,"60-64",84,51,33,
"013",2001,"65-69",29,20,9,
"013",2001,"70-74",16,13,3,
"013",2001,"75-79",10,5,5,
"013",2001,"80-84",11,7,4,
"013",2001,"85+",0,0,0,
"016",2001,"0-4",217,111,106,
"016",2001,"5-9",250,134,116,
"016",2001,"10-14",233,120,113,
"016",2001,"15-19",259,131,128,
"016",2001,"20-24",288,198,90,
"016",2001,"25-29",431,288,143,
"016",2001,"30-34",660,458,202,
"016",2001,"35-39",748,527,221,
"016",2001,"40-44",677,464,213,
"016",2001,"45-49",561,372,189,
"016",2001,"50-54",475,336,139,
"016",2001,"55-59",225,137,88,
"016",2001,"60-64",152,94,58,
"016",2001,"65-69",55,29,26,
"016",2001,"70-74",29,13,16,
"016",2001,"75-79",14,9,5,
"016",2001,"80-84",10,2,8,
"016",2001,"85+",8,2,6,
"020",2001,"0-4",20043,10225,9818,
"020",2001,"5-9",21482,10962,10520,
"020",2001,"10-14",21969,11212,10757,
"020",2001,"15-19",20419,10510,9909,
"020",2001,"20-24",18036,9346,8690,
"020",2001,"25-29",19497,10080,9417,
"020",2001,"30-34",20972,10702,10270,
"020",2001,"35-39",23273,11629,11644,
"020",2001,"40-44",24406,12108,12298,
"020",2001,"45-49",22508,11339,11169,
"020",2001,"50-54",18284,9553,8731,
"020",2001,"55-59",11860,6124,5736,
"020",2001,"60-64",7177,3644,3533,
"020",2001,"65-69",5059,2465,2594,
"020",2001,"70-74",3999,1824,2175,
"020",2001,"75-79",2861,1216,1645,
"020",2001,"80-84",1607,613,994,
"020",2001,"85+",1148,365,783,
"050",2001,"0-4",1654,891,763,
"050",2001,"5-9",1798,963,835,
"050",2001,"10-14",1931,999,932,
"050",2001,"15-19",1591,852,739,
"050",2001,"20-24",1000,525,475,
"050",2001,"25-29",982,492,490,
"050",2001,"30-34",1105,584,521,
"050",2001,"35-39",1290,699,591,
"050",2001,"40-44",1152,612,540,
"050",2001,"45-49",995,554,441,
"050",2001,"50-54",777,448,329,
"050",2001,"55-59",577,311,266,
"050",2001,"60-64",374,193,181,
"050",2001,"65-69",302,136,166,
"050",2001,"70-74",216,124,92,
