"FIPS","AreaName","AgeNumber","Age","Total_In2015to2020","Male_In2015to2020","Female_In2015to2020","Total_Out2015to2020","Male_Out2015to2020","Female_Out2015to2020","Total_Net2015to2020","Male_Net2015to2020","Female_Net2015to2020","Total_In2010to2015","Male_In2010to2015","Female_In2010to2015","Total_Out2010to2015","Male_Out2010to2015","Female_Out2010to2015","Total_Net2010to2015","Male_Net2010to2015","Female_Net2010to2015","Total_In2005to2010","Male_In2005to2010","Female_In2005to2010","Total_Out2005to2010","Male_Out2005to2010","Female_Out2005to2010","Total_Net2005to2010","Male_Net2005to2010","Female_Net2005to2010","Total_In2000to2005","Male_In2000to2005","Female_In2000to2005","Total_Out2000to2005","Male_Out2000to2005","Female_Out2000to2005","Total_Net2000to2005","Male_Net2000to2005","Female_Net2000to2005","Total_In1995to2000","Male_In1995to2000","Female_In1995to2000","Total_Out1995to2000","Male_Out1995to2000","Female_Out1995to2000","Total_Net1995to2000","Male_Net1995to2000","Female_Net1995to2000","Total_In1990to1995","Male_In1990to1995","Female_In1990to1995","Total_Out1990to1995","Male_Out1990to1995","Female_Out1990to1995","Total_Net1990to1995","Male_Net1990to1995","Female_Net1990to1995","Total_In1985to1990","Male_In1985to1990","Female_In1985to1990","Total_Out1985to1990","Male_Out1985to1990","Female_Out1985to1990","Total_Net1985to1990","Male_Net1985to1990","Female_Net1985to1990"
"013","Aleutians East Borough",17,"80-84",0,0,0,2,1,1,-2,-1,-1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",18,"85-89",0,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"013","Aleutians East Borough",19,"90+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",0,"Total",334,192,142,351,202,149,-17,-10,-7,421,262,159,447,278,169,-26,-16,-10,429,263,166,417,247,170,12,16,-4,402,242,160,432,258,174,-30,-16,-14,525,309,216,600,347,253,-75,-38,-37,732,435,297,1615,947,668,-883,-512,-371,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",1,"0-4",20,9,11,22,8,14,-2,1,-3,26,14,12,26,13,13,0,1,-1,23,12,11,32,18,14,-9,-6,-3,25,15,10,26,11,15,-1,4,-5,35,21,14,46,25,21,-11,-4,-7,60,34,26,137,70,67,-77,-36,-41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",2,"5-9",22,10,12,16,9,7,6,1,5,23,13,10,21,11,10,2,2,0,22,13,9,23,13,10,-1,0,-1,22,12,10,23,14,9,-1,-2,1,29,17,12,41,23,18,-12,-6,-6,49,28,21,111,61,50,-62,-33,-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",3,"10-14",13,7,6,12,6,6,1,1,0,16,8,8,20,11,9,-4,-3,-1,19,10,9,22,11,11,-3,-1,-2,23,12,11,25,14,11,-2,-2,0,26,12,14,36,18,18,-10,-6,-4,41,18,23,88,41,47,-47,-23,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",4,"15-19",14,8,6,19,10,9,-5,-2,-3,17,9,8,27,14,13,-10,-5,-5,15,8,7,23,12,11,-8,-4,-4,18,9,9,29,14,15,-11,-5,-6,26,12,14,40,18,22,-14,-6,-8,33,18,15,88,44,44,-55,-26,-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",5,"20-24",28,16,12,26,14,12,2,2,0,35,19,16,33,18,15,2,1,1,39,24,15,30,17,13,9,7,2,31,18,13,32,17,15,-1,1,-2,47,26,21,45,22,23,2,4,-2,61,31,30,100,50,50,-39,-19,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",6,"25-29",42,23,19,30,17,13,12,6,6,48,29,19,39,26,13,9,3,6,47,26,21,35,20,15,12,6,6,35,18,17,32,20,12,3,-2,5,58,35,23,57,34,23,1,1,0,109,65,44,193,117,76,-84,-52,-32,NA,NA,NA,NA,NA,NA,NA,NA,NA
